store_id,product_id,date,category,sales,price,Discount_Applied,safety_stock,lead_time_days,promotion,is_outlier,day_of_week,day_of_month,week_of_year,month,quarter,is_weekend,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_mean_28,rolling_std_28,store_id_Germany,store_id_India,store_id_Pakistan,store_id_UAE,store_id_UK,store_id_USA,product_id_4K Smart TV,product_id_Air Fryer,product_id_Blender,product_id_Coffee Maker,product_id_Cotton T-Shirt,product_id_Cycling Helmet,product_id_Denim Jeans,product_id_Dumbbell Set,product_id_Face Wash,product_id_Football,product_id_Formal Shirt,product_id_Gaming Laptop,product_id_Hair Serum,product_id_Lipstick Set,product_id_Microwave Oven,product_id_Moisturizing Cream,product_id_Perfume,product_id_Running Shoes,product_id_Smartphone 128GB,product_id_Smartwatch,product_id_Tennis Racket,product_id_Vacuum Cleaner,product_id_Winter Jacket,product_id_Wireless Noise-Canceling Headphones,product_id_Yoga Mat,category_Apparel,category_Beauty,category_Electronics,category_Home & Kitchen,category_Sports
Germany,4K Smart TV,2026-04-06,Electronics,1.0,1316.29,0.11,20.0,2.0,1.0,0.0,0,6,15,4,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.75,1.0408329997330712,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Germany,4K Smart TV,2026-04-09,Electronics,1.0,1044.79,0.04,20.0,2.0,1.0,0.0,3,9,15,4,2,0,0.0,0.0,0.0,1.0,0.14285714285714285,0.37796447300932057,0.5,0.7142857142857143,1.0131411680782871,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Germany,4K Smart TV,2026-04-12,Electronics,1.0,153.62,0.04,20.0,2.0,1.0,0.0,6,12,15,4,2,1,0.0,0.0,3.0,2.0,0.2857142857142857,0.4879500364743367,0.35714285714285715,0.5714285714285714,0.959497222838571,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Germany,4K Smart TV,2026-04-14,Electronics,2.0,678.4749999999999,0.04,20.0,2.0,1.0,0.0,1,14,16,4,2,0,0.0,0.0,0.0,0.0,0.2857142857142857,0.4879500364743367,0.21428571428571427,0.4642857142857143,0.8811668550592651,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Germany,4K Smart TV,2026-04-18,Electronics,4.0,747.5150000000001,0.12,20.0,2.0,1.0,0.0,5,18,16,4,2,1,0.0,0.0,0.0,0.0,0.42857142857142855,0.7867957924694853,0.35714285714285715,0.42857142857142855,0.8789122666607754,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Germany,4K Smart TV,2026-04-21,Electronics,3.0,1415.07,0.07,20.0,2.0,1.0,0.0,1,21,17,4,2,0,0.0,2.0,0.0,0.0,0.8571428571428571,1.5735915849389053,0.5714285714285714,0.5357142857142857,1.1049431980420896,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Germany,4K Smart TV,2026-04-22,Electronics,1.0,1147.66,0.13,20.0,2.0,1.0,0.0,2,22,17,4,2,0,3.0,0.0,0.0,0.0,1.0,1.732050807568894,0.7857142857142857,0.6428571428571429,1.1930131697849915,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Germany,4K Smart TV,2026-04-30,Electronics,1.0,1239.84,0.09,20.0,2.0,1.0,0.0,3,30,18,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.4642857142857143,0.9993384054849779,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Germany,4K Smart TV,2026-05-02,Electronics,1.0,1101.57,0.02,20.0,2.0,1.0,0.0,5,2,18,5,2,1,0.0,0.0,4.0,0.0,0.14285714285714285,0.37796447300932,0.6428571428571429,0.5,1.0000000000000047,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Germany,4K Smart TV,2026-05-04,Electronics,3.0,915.62,0.11,20.0,2.0,1.0,0.0,0,4,19,5,2,0,0.0,0.0,0.0,1.0,0.2857142857142857,0.4879500364743364,0.42857142857142855,0.5357142857142857,0.9993384054849779,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
