store_id,product_id,date,category,sales,price,Discount_Applied,safety_stock,lead_time_days,promotion,is_outlier
Germany,4K Smart TV,2026-04-02,Electronics,0.0,1363.58,,20.0,2.0,0.0,0.0
Germany,4K Smart TV,2026-04-03,Electronics,0.0,1363.58,,20.0,2.0,0.0,0.0
Germany,4K Smart TV,2026-04-04,Electronics,0.0,1363.58,,20.0,2.0,0.0,0.0
Germany,4K Smart TV,2026-04-05,Electronics,0.0,1363.58,,20.0,2.0,0.0,0.0
Germany,4K Smart TV,2026-04-06,Electronics,1.0,1316.29,0.11,20.0,2.0,1.0,0.0
Germany,4K Smart TV,2026-04-07,Electronics,0.0,1316.29,,20.0,2.0,0.0,0.0
Germany,4K Smart TV,2026-04-08,Electronics,0.0,1316.29,,20.0,2.0,0.0,0.0
Germany,4K Smart TV,2026-04-09,Electronics,1.0,1044.79,0.04,20.0,2.0,1.0,0.0
Germany,4K Smart TV,2026-04-10,Electronics,0.0,1044.79,,20.0,2.0,0.0,0.0
Germany,4K Smart TV,2026-04-11,Electronics,0.0,1044.79,,20.0,2.0,0.0,0.0
Germany,4K Smart TV,2026-04-12,Electronics,1.0,153.62,0.04,20.0,2.0,1.0,0.0
Germany,4K Smart TV,2026-04-13,Electronics,0.0,153.62,,20.0,2.0,0.0,0.0
Germany,4K Smart TV,2026-04-14,Electronics,2.0,678.4749999999999,0.04,20.0,2.0,1.0,0.0
Germany,4K Smart TV,2026-04-15,Electronics,0.0,678.4749999999999,,20.0,2.0,0.0,0.0
Germany,4K Smart TV,2026-04-16,Electronics,0.0,678.4749999999999,,20.0,2.0,0.0,0.0
Germany,4K Smart TV,2026-04-17,Electronics,0.0,678.4749999999999,,20.0,2.0,0.0,0.0
Germany,4K Smart TV,2026-04-18,Electronics,4.0,747.5150000000001,0.12,20.0,2.0,1.0,0.0
Germany,4K Smart TV,2026-04-19,Electronics,0.0,747.5150000000001,,20.0,2.0,0.0,0.0
Germany,4K Smart TV,2026-04-20,Electronics,0.0,747.5150000000001,,20.0,2.0,0.0,0.0
Germany,4K Smart TV,2026-04-21,Electronics,3.0,1415.07,0.07,20.0,2.0,1.0,0.0
Germany,4K Smart TV,2026-04-22,Electronics,1.0,1147.66,0.13,20.0,2.0,1.0,0.0
Germany,4K Smart TV,2026-04-23,Electronics,0.0,1147.66,,20.0,2.0,0.0,0.0
